Date;CLOSE
25.03.2019;1228,34
26.03.2019;1229,96
27.03.2019;1207,23
28.03.2019;1207,31
29.03.2019;1198,11
01.04.2019;1214,29
02.04.2019;1216,2
03.04.2019;1224,35
04.04.2019;1219,94
05.04.2019;1225,84
08.04.2019;1240,16
09.04.2019;1248,38
10.04.2019;1262,48
11.04.2019;1245,17
12.04.2019;1253,44
15.04.2019;1246,99
16.04.2019;1255,45
17.04.2019;1265,51
18.04.2019;1262,28
19.04.2019;1260,82
22.04.2019;1275,59
23.04.2019;1277,71
24.04.2019;1263,97
25.04.2019;1245,98
26.04.2019;1247,01
29.04.2019;1254,96
30.04.2019;1248,39
02.05.2019;1238,05
03.05.2019;1248,39
06.05.2019;1245,59
07.05.2019;1237,86
08.05.2019;1233,05
10.05.2019;1213,79
13.05.2019;1207,57
14.05.2019;1241,51
15.05.2019;1247,02
16.05.2019;1261,33
17.05.2019;1254,68
20.05.2019;1256,22
21.05.2019;1279,12
22.05.2019;1292,79
23.05.2019;1275,42
24.05.2019;1279,11
27.05.2019;1288,12
28.05.2019;1271,15
29.05.2019;1275,92
30.05.2019;1286,52
31.05.2019;1287,09
03.06.2019;1315,22
04.06.2019;1307,55
05.06.2019;1303,35
06.06.2019;1319,85
07.06.2019;1325,95
10.06.2019;1335,71
11.06.2019;1343,33
13.06.2019;1346,98
14.06.2019;1341,05
17.06.2019;1340,9
18.06.2019;1359,23
19.06.2019;1361,14
20.06.2019;1391,21
21.06.2019;1375,02
24.06.2019;1387,06
25.06.2019;1380,87
26.06.2019;1386,63
27.06.2019;1388,07
28.06.2019;1380,52
01.07.2019;1401,64
02.07.2019;1398,26
03.07.2019;1401,52
04.07.2019;1411,53
05.07.2019;1398,75
08.07.2019;1399,55
09.07.2019;1394,86
10.07.2019;1407,64
11.07.2019;1398,88
12.07.2019;1387,87
15.07.2019;1386,52
16.07.2019;1382,09
17.07.2019;1361,58
18.07.2019;1349,76
19.07.2019;1350,69
22.07.2019;1341,17
23.07.2019;1345,48
24.07.2019;1339,62
25.07.2019;1346,91
26.07.2019;1348,3
29.07.2019;1353,61
30.07.2019;1352,89
31.07.2019;1360,04
01.08.2019;1346,4
02.08.2019;1293,19
05.08.2019;1282,29
06.08.2019;1294,5
07.08.2019;1284,91
08.08.2019;1303,8
09.08.2019;1289,47
12.08.2019;1294,12
13.08.2019;1297,85
14.08.2019;1259,68
15.08.2019;1250,13
16.08.2019;1239,81
19.08.2019;1247,53
20.08.2019;1264,59
21.08.2019;1280,19
22.08.2019;1282,63
23.08.2019;1268,45
26.08.2019;1268,25
27.08.2019;1258,6
28.08.2019;1266,71
29.08.2019;1284,94
30.08.2019;1293,32
02.09.2019;1309,22
03.09.2019;1303,49
04.09.2019;1330,77
05.09.2019;1337,92
06.09.2019;1340,52
09.09.2019;1340,14
10.09.2019;1343,95
11.09.2019;1354,68
12.09.2019;1361,05
13.09.2019;1368,93
16.09.2019;1396,09
17.09.2019;1381,5
18.09.2019;1382,16
19.09.2019;1378,06
20.09.2019;1377,38
23.09.2019;1373,49
24.09.2019;1358,8
25.09.2019;1354,01
26.09.2019;1359,59
27.09.2019;1347,72
30.09.2019;1333,91
01.10.2019;1329,37
02.10.2019;1313,75
03.10.2019;1307,01
04.10.2019;1311,65
07.10.2019;1320,25
08.10.2019;1306,39
09.10.2019;1317,48
10.10.2019;1330,92
11.10.2019;1329,63
14.10.2019;1321,13
15.10.2019;1331,03
16.10.2019;1347,43
17.10.2019;1353,49
18.10.2019;1355,27
21.10.2019;1365,14
22.10.2019;1387,68
23.10.2019;1392,47
24.10.2019;1413,63
25.10.2019;1421,2
28.10.2019;1411,92
29.10.2019;1424,05
30.10.2019;1431,9
31.10.2019;1422,92
01.11.2019;1455,44
05.11.2019;1460,5
06.11.2019;1471,38
07.11.2019;1487,03
08.11.2019;1468,17
11.11.2019;1460,84
12.11.2019;1449,35
13.11.2019;1437,85
14.11.2019;1436,98
15.11.2019;1449,42
18.11.2019;1443,02
19.11.2019;1451,64
20.11.2019;1448,4
21.11.2019;1454,74
22.11.2019;1455,42
25.11.2019;1454,63
26.11.2019;1440,95
27.11.2019;1441,08
28.11.2019;1439,18
29.11.2019;1438,45
02.12.2019;1432,81
03.12.2019;1414,06
04.12.2019;1430,03
05.12.2019;1430,39
06.12.2019;1448,34
09.12.2019;1456,79
10.12.2019;1454,23
11.12.2019;1463,15
12.12.2019;1496,96
13.12.2019;1501,42
16.12.2019;1517,16
17.12.2019;1520,6
18.12.2019;1522,51
19.12.2019;1519,49
20.12.2019;1523,77
23.12.2019;1535
24.12.2019;1540,46
25.12.2019;1544,12
26.12.2019;1534,85
27.12.2019;1549,4
30.12.2019;1548,92
03.01.2020;1564,18
06.01.2020;1568,35
08.01.2020;1589,08
09.01.2020;1601,74
10.01.2020;1614,69
13.01.2020;1619,73
14.01.2020;1604,96
15.01.2020;1602,29
16.01.2020;1612,72
17.01.2020;1637,75
20.01.2020;1646,6
21.01.2020;1634,32
22.01.2020;1612,87
23.01.2020;1596,11
24.01.2020;1599,82
27.01.2020;1541,9
28.01.2020;1572,23
29.01.2020;1570,65
30.01.2020;1544,55
31.01.2020;1517,07
03.02.2020;1521,16
04.02.2020;1547,19
05.02.2020;1560,48
06.02.2020;1539,42
07.02.2020;1518,23
10.02.2020;1503,95
11.02.2020;1539,56
12.02.2020;1557,44
13.02.2020;1543,5
14.02.2020;1534,89
17.02.2020;1543,25
18.02.2020;1515,54
19.02.2020;1542,08
20.02.2020;1535,81
21.02.2020;1524,71
25.02.2020;1446,11
26.02.2020;1461,22
27.02.2020;1386,2
28.02.2020;1299,69
02.03.2020;1303,47
03.03.2020;1358,03
04.03.2020;1348,19
05.03.2020;1323,82
06.03.2020;1257,96
10.03.2020;1094,18
11.03.2020;1086,18
12.03.2020;966,4
13.03.2020;991,69
16.03.2020;966,93
17.03.2020;934,66
18.03.2020;832,26
19.03.2020;902,63
20.03.2020;924,22
23.03.2020;883,78
24.03.2020;965,32
25.03.2020;981,69
26.03.2020;1017,03
27.03.2020;955,34
30.03.2020;958,54
31.03.2020;1014,44
01.04.2020;987,75
02.04.2020;1034,06
03.04.2020;1049,88
06.04.2020;1083,43
07.04.2020;1099,76
08.04.2020;1114,6
09.04.2020;1155,49
10.04.2020;1142,07
13.04.2020;1124,97
14.04.2020;1133,23
15.04.2020;1046,88
16.04.2020;1066,91
17.04.2020;1078,69
20.04.2020;1068,32
21.04.2020;1012,15
22.04.2020;1066,01
23.04.2020;1099,67
24.04.2020;1081,32
27.04.2020;1083,68
28.04.2020;1109,6
29.04.2020;1144,64
30.04.2020;1125,03
04.05.2020;1099,42
05.05.2020;1133,16
06.05.2020;1111,43
07.05.2020;1126,48
08.05.2020;1136,34
12.05.2020;1137,28
13.05.2020;1110,37
14.05.2020;1102,98
15.05.2020;1107,49
18.05.2020;1167,88
19.05.2020;1177,24
20.05.2020;1225,47
21.05.2020;1206,28
22.05.2020;1188,47
25.05.2020;1213,41
26.05.2020;1224,99
27.05.2020;1212,2
28.05.2020;1241,77
29.05.2020;1219,76
01.06.2020;1247,61
02.06.2020;1277,85
03.06.2020;1301,88
04.06.2020;1257,31
05.06.2020;1285,78
08.06.2020;1288,71
09.06.2020;1284,31
10.06.2020;1277,58
11.06.2020;1238,11
15.06.2020;1221,6
16.06.2020;1242,72
17.06.2020;1237,93
18.06.2020;1230,71
19.06.2020;1249,67
22.06.2020;1256,77
23.06.2020;1281,18
25.06.2020;1257,18
26.06.2020;1246,74
29.06.2020;1239,81
30.06.2020;1212,63
02.07.2020;1248,28
03.07.2020;1235,18
06.07.2020;1247,14
07.07.2020;1247,83
08.07.2020;1245,54
09.07.2020;1234,42
10.07.2020;1245,65
13.07.2020;1234,5
14.07.2020;1216,79
15.07.2020;1219,26
16.07.2020;1219,93
17.07.2020;1216,17
20.07.2020;1235,85
21.07.2020;1259,72
22.07.2020;1255,1
23.07.2020;1261,62
24.07.2020;1255,98
27.07.2020;1266,16
28.07.2020;1257,69
29.07.2020;1266,01
30.07.2020;1232,35
31.07.2020;1234,44
03.08.2020;1257,42
04.08.2020;1260,16
05.08.2020;1295,27
06.08.2020;1282,44
07.08.2020;1271,43
10.08.2020;1267,96
11.08.2020;1296,01
12.08.2020;1307,12
13.08.2020;1326,13
14.08.2020;1323,8
17.08.2020;1308,71
18.08.2020;1311,52
19.08.2020;1316,32
20.08.2020;1272,81
21.08.2020;1262,01
24.08.2020;1281,52
25.08.2020;1267,16
26.08.2020;1273,24
27.08.2020;1264,86
28.08.2020;1265,62
31.08.2020;1258,6
01.09.2020;1274,5
02.09.2020;1234,82
03.09.2020;1223,21
04.09.2020;1220,01
07.09.2020;1218,52
08.09.2020;1189,47
09.09.2020;1201,34
10.09.2020;1216,59
11.09.2020;1223,05
14.09.2020;1228,48
15.09.2020;1253,68
16.09.2020;1251,86
17.09.2020;1243,29
